Timestamp,I am 18+ and consent to take part. I understand anomymised data will be published openly,Please enter your prolific ID (this is required to receive payment),Which of the following best describes your current work status? ,"Do you use any AI-powered tools or features in your work or daily life?  (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search)? ","How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",Using AI tools influences my emotional state. ,I sometimes feel emotionally flat or neutral after using AI-powered tools. ,I feel more emotionally drained after long or repeated use of AI tools ,AI tools sometimes give me a sense of relief or support when I feel overloaded. ,My mood can shift quickly during or after using AI tools and chats. ,Using AI-powered tools influences how I see myself and my abilities. ,I sometimes question what is genuinely “mine” versus shaped by suggestions from AI tools. ,AI tools affect how authentic my work or ideas feel. ,I sometimes feel less connected to my real self when I rely heavily on AI tools. ,I worry that regular use of AI systems may blur or weaken parts of my identity. ,AI tools influence how creative I feel. ,I rely on AI tools to spark ideas or creative directions. ,My creative work feels less original when AI tools are involved. ,AI tools help me express ideas more clearly or fluidly. ,AI tools make creative work easier but sometimes less meaningful. ,AI systems influence the way I think internally. ,They affect how deeply I engage with my own thoughts. ,They shape what I focus on or pay attention to. ,They influence how I process problems or decisions. ,AI systems affect my sense of meaning or purpose in some tasks. ,I use AI tools to check whether my thoughts or opinions are correct. ,I use AI tools in ways that reinforce my existing beliefs about a topic. ,I rely on AI tools to help me evaluate or question my thinking. ,I rely on digital tools or AI to validate my thinking rather than explore alternative perspectives.  ,AI tools influence how meaningful certain tasks or activities feel. ,Relying on AI systems can make me feel less connected to my core values. ,"AI systems sometimes affect my sense of authenticity in how I think, work, or express myself ",How have AI tools influenced your emotions or inner experience? ,How have AI tools influenced your creativity or originality? ,What is your age group?,Country of residence,Which of the following best describes your gender?
19/11/2025 19:18:19,Yes,5e5012ec47808406305d6a0d,Employed full time,Yes,Sometimes,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1,1,1,1,5,3,1,1,1,1,dthey have not,they have not,55 - 65,UK,Man
19/11/2025 19:18:21,Yes,6543521c6e77382008aa65c1,Employed full time,Yes,Very often,5,4,2,6,5,5,5,6,4,5,5,6,6,4,6,5,5,6,5,5,7,5,6,5,6,5,6,allowed me to search for answers to difficult questions that may not appear online and feel less frustrated,absoultely ,25 - 34,Canada,Man
19/11/2025 19:18:23,Yes,594425f07ccfd00001d3f462,Employed part-time,Yes,Everyday,1,5,2,2,1,2,4,5,2,6,2,1,6,2,4,2,1,2,1,3,1,1,2,1,6,6,4,The existence of AI tools has made me feel more negative,AI tools have made some work feel less original ,25 - 34,US,Prefer not to say
19/11/2025 19:18:34,Yes,67296a7bde9bf9d7541d058a,Employed part-time,Yes,Everyday,3,4,3,2,2,5,2,5,2,5,5,5,3,6,6,5,4,5,6,6,6,5,6,7,4,2,5,I think AI tools make me more calmed as it is easier and less frustrating to ask AI questions than ask normal person,I became less creative as I get used to ask AI each questions before thinking about it myself,25 - 34,Canada,Woman
19/11/2025 19:18:35,Yes,65cb86a7e667e637599a3af3,Self-employed / freelance,Yes,Occasionally,3,2,3,5,2,4,5,5,2,4,6,4,6,4,7,3,2,5,5,4,3,2,2,3,2,6,4,It sometimes allows me to reflect in ways I would've anyway. It exhibits a lot of confirmation bias and therefore influences my emotions by reinforcing it in a way I do not like. ,Sometimes it prevents me from being more original and creative. It makes me feels stuck on a specific set of outputs because it is what it recommended. ,25 - 34,US,Woman
19/11/2025 19:18:39,Yes,67e461f383bb0fc948ffd5fd,Employed part-time,Yes,Sometimes,2,1,1,2,1,2,1,3,2,1,3,2,4,3,3,2,1,1,1,1,1,1,2,2,2,1,1,"AI really doesn't invoke a strong emotion in me, it is a tool, the same as a hammer or screwdriver.",I was never creative in the first place so AI has only made me look more creative than before.,25 - 34,Canada,Man
19/11/2025 19:18:41,Yes,66708c3d9418ec5491c5483e,Employed full time,Yes,Often,2,5,1,1,1,2,1,1,1,1,5,3,3,5,4,2,1,6,5,1,1,4,4,1,3,2,1,not as of yet,It has helped me get the ball rolling on more ideas where i would have struggle with an initial hurdle,35 - 44,Canada,Man
19/11/2025 19:18:42,Yes,671f1fb636ac7928d95d1c32,Employed full time,Yes,Sometimes,3,1,1,7,1,2,2,5,6,5,1,6,7,4,6,4,5,2,1,5,7,3,7,4,1,1,4,they have not influenced them ,I don't feel as smart sometimes when I rely on AI and lack creativity,35 - 44,US,Woman
19/11/2025 19:18:48,Yes,65b825e9e223a35e7fa74a17,Employed full time,Yes,Occasionally,3,3,3,4,3,3,4,3,4,4,3,3,3,4,5,3,3,3,3,3,4,3,3,4,3,3,5,not that much,it helps express things faster,25 - 34,Australia,Woman
19/11/2025 19:18:50,Yes,597d52463358830001cad7cf,Not currently working,Yes,Occasionally,2,2,1,4,2,1,2,2,1,1,3,1,3,4,3,1,1,4,4,2,2,2,3,2,2,2,2,No I wouldn't say the have,Yes they have helped me get passed some creative blockages ,25 - 34,Canada,Man
19/11/2025 19:18:51,Yes,5b2785058ecf3f0001619d87,Employed part-time,Yes,Sometimes,4,4,3,3,3,5,5,2,4,5,3,5,4,4,4,4,5,4,5,5,4,4,5,5,4,3,5,Making me think more about certain topics or opening my mind for things I haven’t seen ,Giving me ideas when I’m not on a good day ,35 - 44,UK,Woman
19/11/2025 19:18:55,Yes,68491eeead1c9115dbd5d603,Employed full time,Yes,Very often,4,4,3,6,5,3,2,3,2,3,3,2,2,3,2,1,2,1,3,3,2,2,3,2,3,2,3,"AI tools have introduced a mix of curiosity and ambivalence into my emotional life. On one hand, they make certain tasks easier and reduce stress by offering quick clarity or support. On the other hand, they sometimes leave me questioning my own abilities whether my ideas are “mine” or subtly shaped by the tools I use. I occasionally feel a sense of disconnection when I rely on AI too much, but also a sense of empowerment when it helps me express something I couldn’t articulate on my own. Overall, AI has made me more reflective about where my thoughts come from and how technology influences my inner world.","AI has expanded my creative possibilities by acting like a brainstorming partner that offers perspectives I wouldn’t have considered. It helps me move past creative blocks and explore new directions quickly. However, I’m also more aware of the temptation to rely on AI-generated ideas instead of pushing through my own creative discomfort. I find that my originality is strongest when I use AI as a catalyst  to challenge, contrast, or refine my own thinking  rather than as a replacement for it. In that sense, AI has changed how I create  but not the value I place on having a personal voice.",35 - 44,US,Man
19/11/2025 19:18:58,Yes,67696d49d386c9789b03b1da,Other,Yes,Sometimes,3,2,2,4,2,5,4,3,2,2,4,5,3,5,4,2,2,3,5,3,4,6,4,3,5,3,2,I don't think they have.  I use them as a support tool mostly to substantiate what I believe,I am not very creative so they give me ideas that I can build on.,55 - 65,UK,Man
19/11/2025 19:19:08,Yes,6914e557a015d7301ff42abe,Employed full time,Yes,Sometimes,1,4,1,5,4,3,5,4,2,6,6,2,5,5,6,3,5,5,5,5,4,4,3,3,5,5,5,"Personally, I don't think that AI tools have influenced my emotions much. I mostly use them to analyze text entry type questions so I can more easily find trends in qualitative data without reading through every single entry.","So far, not so much? I would say a bit as I did use it to create an image for a T-Shirt which kind of surprised me how well it turned out.",35 - 44,US,Man
19/11/2025 19:19:14,Yes,63748732f140188d25f70dbf,Employed full time,Yes,Very often,5,3,2,5,2,6,2,5,2,2,6,5,2,6,4,4,3,6,6,2,6,6,6,2,4,2,2,They have helped me to either confirm ideas or improve existing ideas,"Yes, they can make me think about now ideas to improve an existing idea ",55 - 65,UK,Man
19/11/2025 19:19:14,Yes,601fd27860b197531ca7bdcc,Employed full time,Yes,Very often,5,1,1,7,1,6,1,1,1,2,5,6,1,6,1,2,3,5,6,1,5,1,6,1,2,1,1,"They have reduced my feelings of stress and anxiety when i am overloaded with work. This is because they act as an assistant, helping me to analyse ideas and come up with solutions.",AI tools have increased my creativity. They also cause me to generate more original ideas because they make me think about things that otherwise wouldn't come to mind.,35 - 44,UK,Man
19/11/2025 19:19:19,Yes,6658dd700eb742f84c1ecd57,Employed full time,Yes,Everyday,6,3,3,6,5,6,2,1,1,1,5,7,1,6,6,6,6,7,7,1,6,1,6,2,6,2,2,sometimes i doubtmyself as AI gives me alternative responses and makes me think in a different way. Makes me feel like i am incapable.. ,"yes, with the various of different outcomes it has indeed made me think differently ",35 - 44,Australia,Woman
19/11/2025 19:19:21,Yes,661ad4be7fd52981fbab7a50,Employed full time,Yes,Often,5,3,1,5,3,4,5,6,1,6,6,2,2,4,4,5,5,6,6,5,5,6,5,6,6,7,4,AI tools help me feel more supported at work.,AI tools have made me realise my originality is important.,45 - 54,New Zealand,Woman
19/11/2025 19:19:22,Yes,5eaaadaf57f54b0008dedcdc,Employed full time,Yes,Often,1,1,1,2,1,2,1,2,1,2,3,2,4,4,5,1,2,2,4,3,4,2,3,2,1,1,1,"I wouldn't say that AI has influenced my emotions, I use it as a tool","I feel that using AI can help you be more creative, and come up with a visual aspect of your thoughts. The prompt used can open a whole world of creativity my brain couldn't come up with",25 - 34,UK,Woman
19/11/2025 19:19:25,Yes,5f01ce19f3984631df5348e4,Employed full time,Yes,Sometimes,3,1,1,3,1,2,2,2,1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,The can help reduce stress in expressing certain ideas or concepts,Sometimes using tools to create images reduces how much creative input I feel I have had,55 - 65,UK,Man
19/11/2025 19:19:36,Yes,67c741690c66e5b2b93bcc9d,Employed full time,Yes,Occasionally,3,1,1,5,3,2,2,2,1,1,1,2,1,5,1,1,1,1,2,1,5,5,3,2,1,1,1,I don't think AI tools have had much effect on my emotions or my inner experience,AI tools have only helped to enhance my creativity and originality by making it better and stronger,35 - 44,Canada,Woman
19/11/2025 19:19:38,Yes,67e3281497a9f68c5c7ff062,Employed full time,Yes,Everyday,6,7,5,4,6,5,6,6,5,4,6,7,4,6,4,6,5,7,5,4,7,5,7,5,7,4,6,The inspire me.,I am able to create new ideas.,45 - 54,US,Man
19/11/2025 19:19:40,Yes,5d260e7b59235a001672fa1c,Employed full time,Yes,Sometimes,3,1,1,2,4,1,1,1,6,7,1,2,7,5,7,2,4,3,7,5,6,2,7,3,1,7,2,Receiving validation and non-emotional criticism is very helpful. I use AI to help brainstorm and organize my thoughts. ,AI has enhanced my creativity. Brainstorming ideas and seeing suggestions that inspire new thoughts and actions. ,25 - 34,US,Woman
19/11/2025 19:19:41,Yes,66cc6eb364154a51d4d44eb1,Employed full time,Yes,Everyday,6,2,1,6,4,6,1,1,1,1,5,5,4,6,2,5,5,2,5,3,6,2,1,2,4,3,3,iit helps me self motivate ,i can ask it to look at my work and keep it the same just present in a creative way,45 - 54,UK,Man
19/11/2025 19:19:43,Yes,5c49b156f5e26d0001479b44,Self-employed / freelance,Yes,Occasionally,2,2,2,4,1,1,1,3,1,1,1,3,4,3,4,1,1,4,1,1,6,4,4,1,1,2,2,I don't think so as I only tend to use them to ask questions and satisfy my curiosity.,Not at all.,Over 65,UK,Woman
19/11/2025 19:19:44,Yes,66b2433239a9cbf52a883998,Employed part-time,Yes,Occasionally,1,1,1,4,3,1,1,1,1,1,1,5,1,4,4,1,1,3,4,1,4,4,4,1,1,1,1,It hasn’t really o just consider it really like a ‘smart’ google ,I fell like it has helped make ideas concise so I spend less time trying to understand my ideas and more time able to go something with them,25 - 34,US,Woman
19/11/2025 19:19:46,Yes,606b197a43dfda2edcd80803,Employed full time,Yes,Everyday,5,3,2,7,5,5,6,7,5,6,5,6,7,7,4,5,4,5,5,5,5,6,6,5,6,5,7,It has made me feel better when I am uncertain as it provides a lot of insights and sometimes explain my feelings to me.,"I am not creative or original anymore. Sometimes, AI does all my creative output for me. ",25 - 34,Canada,Man
19/11/2025 19:19:47,Yes,67d09fef5654f3194dc6c5a6,Employed full time,Yes,Sometimes,3,4,2,4,4,5,3,2,3,3,5,3,2,6,3,2,3,5,6,2,2,5,5,4,5,2,2,Does not affect my emotions much.  Makes life a little easier at work and answer some of my questions.,It helps me create more stuffs instead of limiting my ideas.,35 - 44,Canada,Man
19/11/2025 19:19:47,Yes,63ed0392b8b24c34aaf26310,Self-employed / freelance,Yes,Often,6,1,1,7,1,3,1,1,1,1,5,6,1,7,1,1,1,1,5,1,5,5,6,5,3,1,1,when i feel upset or overwhelmed i ask chatgpt for advise i can talk to it better then my family no judgement it listens  and its mare rational the me at that point ,it expands on it it can bring a vague idea to life,45 - 54,UK,Woman
19/11/2025 19:19:53,Yes,628f83dc5398c04bac86f9e6,Employed full time,Yes,Sometimes,3,6,3,6,5,2,5,6,5,6,5,3,5,6,6,4,6,5,6,5,3,6,6,5,5,3,6,To me my emotion goes from hopeless to less burden sometimes knowing it’s helping me do certain monotonous or struggling tasks,It makes me feel less capable sometimes. I don’t want to rely too much and I feel I lose some with over reliance or it,35 - 44,US,Man
19/11/2025 19:19:53,Yes,666cabdac55b27a206be6032,Employed full time,Yes,Rarely,4,5,5,3,3,5,5,6,6,5,5,1,5,3,5,1,1,1,1,4,2,2,2,2,5,6,5,I tend to avoid using AI tools where possible and as a result they have limited sway on my emotions but I often feel disappointed or dissatisfied after using it,I tend to avoid use of AI and I don’t feel that it has any sway on my creativity as I would actively avoid any AI use in any creative endeavours I undertake ,25 - 34,New Zealand,Man
19/11/2025 19:19:54,Yes,6054e5f7c1931593649b158f,Student,Yes,Rarely,2,5,2,2,2,3,7,7,6,7,6,1,7,1,7,2,2,3,2,2,1,1,1,1,6,7,7,not much at all,Cant feel creative using AI have to do it myself,18 - 24,US,Man
19/11/2025 19:20:04,Yes,6651e7f3cec5c25f42720bfa,Not currently working,Yes,Often,2,1,2,5,1,1,2,2,2,1,4,4,3,6,4,1,1,1,1,2,5,4,4,3,2,1,2,"They haven’t, I don’t see how they could.","I like to use ideas from AI, it’s nice to get a different perspective on things. So it has helped me with regards to creativity and originality.",35 - 44,UK,Woman
19/11/2025 19:20:04,Yes,67e0870d582edce0a2764d1f,Employed full time,Yes,Everyday,5,2,1,7,3,4,2,1,1,1,6,7,1,6,2,5,6,7,7,4,7,2,7,2,5,2,1,They have helped me connect better to myself since their neutral and rational perspective at times helps me identify areas where I am blinded by my perspectives and beliefs and so this creates self-awareness.  I also use AI to navigate my emotions and get to the root cause of issues I face and this helps me solve my emotional problems. ,AI tools help me to be more creative by expanding my thought process and how I think about different things. Using AI I am also able to refine different ideas. ,25 - 34,UK,Man
19/11/2025 19:20:11,Yes,5a297877edcbca00015f351f,Not currently working,Yes,Occasionally,6,1,1,6,3,4,2,4,1,4,1,1,7,4,6,1,1,1,4,4,6,4,5,4,3,5,4,They can help you clarify or help you work out to your own answers when you talk about your emotions and situation,"They don't, relying on AI for creativity defeats the purpose of why we are here as humans, AI/automation should be used for to increase productivity in unwanted tasks/labor",25 - 34,Canada,Man
19/11/2025 19:20:13,Yes,662fb42cc3458e96dee33181,Student,Yes,Often,3,2,2,2,4,4,6,3,3,6,4,4,3,5,5,5,5,3,4,7,3,2,5,3,5,5,5,sometimes I wonder if my abilities will be useful if AI really gets better than a competent human.,Sometimes it can come up with good ideas to help speed up the process.,35 - 44,US,Man
19/11/2025 19:20:16,Yes,64f81076c88a550368cc0eab,Other,Yes,Sometimes,5,4,5,6,5,6,5,6,6,5,6,6,5,7,4,4,6,6,6,6,7,5,6,5,5,3,4,It has helped me to think thoroughly and made me go deeper.,I think it has helped me clarify ideas and thoughts so I can be more creative instead of being stuck.,45 - 54,Canada,Woman
19/11/2025 19:20:18,Yes,63d13c9a4c0601c55747e64c,Employed full time,Yes,Everyday,1,1,4,2,1,5,3,5,3,1,6,7,2,5,5,5,2,2,5,1,5,6,6,2,3,6,6,The don’t really influence my emotions ,They can enhance creativity if used in the correct way ,25 - 34,UK,Woman
19/11/2025 19:20:18,Yes,5fbc5a3e09412611f93aa1c2,Employed full time,Yes,Occasionally,1,1,1,6,6,6,5,1,1,1,1,3,1,3,3,4,3,5,4,4,5,2,7,4,5,1,2,they really have not influenced my emotions,AI helps spark my creativity. when i and in a rut i can rely on AI to give me prompts until one sparks with me,25 - 34,US,Woman
19/11/2025 19:20:22,Yes,67c535ec3af64efa48e9a601,Student,Yes,Often,3,3,3,4,2,4,3,5,4,5,5,5,7,5,6,2,2,2,3,3,3,4,3,3,3,3,4,Using AI sometimes makes me feel like I'm dumb or that I can't do the things that I ask it to do.,I've been using AI to brainstorm and come up with ideas for a while now and I think that its made me worse at coming up with my own unique ideas. I fell like I'm struggling more now than I was before. ,18 - 24,Canada,Woman
19/11/2025 19:20:27,Yes,69156e1deb1923143b39c36d,Employed full time,Yes,Everyday,3,3,1,6,3,3,1,4,1,1,1,4,1,5,5,4,3,5,5,6,6,4,6,2,5,1,3,"Honestly, AI tools have made my daily life feel a bit lighter. They help me organize my thoughts, reduce my stress about planning, and give me a sense of clarity when I feel overwhelmed.","They've made it easier for me to start ideas and organize them, but I still add my own style, so it feels more like a support than a replacement.",35 - 44,Canada,Woman
19/11/2025 19:20:28,Yes,5d378e7456b5f3001932750e,Employed full time,Yes,Sometimes,3,5,2,2,2,2,2,2,2,2,2,1,2,5,2,2,2,2,2,2,3,2,6,2,2,1,1,They don't hugely - I use these tools as a way to help my work ,"Again, not hugely. I use it to flesh out ideas I've already had",25 - 34,UK,Man
19/11/2025 19:20:35,Yes,5c3b67cf3ce2c8000112b9d2,Employed full time,Yes,Very often,4,6,6,5,2,2,5,5,6,6,6,4,7,6,6,4,5,5,3,5,5,5,4,4,6,6,6,Mainly by helping me put words together that I need to communicate to someone how I feel ,"By suggesting creative ideas that i know, by design, are not original but to me they seem to be because they're new to me? ",35 - 44,UK,Woman
19/11/2025 19:20:35,Yes,66b3baa9d3510088c32b4324,Self-employed / freelance,Yes,Everyday,1,3,1,5,1,1,5,7,3,7,7,7,5,4,7,1,1,1,7,1,5,1,5,3,4,3,5,They haven't had much effect on my emotional state or inner being as I don't use ai tools for that yet,I feel like ai has weakened my ability to be creative as I skip the process of being original ,25 - 34,US,Woman
19/11/2025 19:20:40,Yes,691373c90f05c1fb0b5bdfbd,Self-employed / freelance,Yes,Sometimes,5,6,5,3,5,4,6,6,7,7,6,3,4,3,5,5,3,4,7,6,1,1,5,1,5,5,5,"Mostly they give me a sense of existential dread.  I see so many people using them that I have started to spend time using them and I find them to be terribly impersonal and honestly quiet disconnected from reality.  Grok especially hallucinates all the time and just spouts random nonsense and I worry how many people that never grew up learning critical thinking skills will just take what it says as truth when in reality its mostly nonsense for some things.  I have tried other LLMs like Chat-GPT, CoPiolt, Gemeni and others, and they are all about the same.","They encourage me to be more creative really.  Since I try and interact with them in different ways each time I do to see what kind of results they have.  As a result I am getting rather proficient at ""role playing"" with AI.  Which is ultimately pretty creative I think.",35 - 44,Canada,Man
19/11/2025 19:20:41,Yes,67a95d468d14bd6324b4bbba,Employed full time,Yes,Everyday,1,1,1,7,1,7,5,4,1,1,7,7,1,7,1,1,1,1,1,1,1,7,1,5,7,1,1,"AI tools have made certain tasks feel easier and less stressful by providing quick guidance, though at times they also make me more aware of how rapidly technology is evolving.","AI tools have expanded my creative possibilities by offering new ideas and perspectives, but I still feel that my originality comes from how I choose to adapt and build on those suggestions.",25 - 34,US,Man
19/11/2025 19:20:52,Yes,606777ab1b8c159e03757f0c,Employed full time,Yes,Sometimes,2,4,4,5,3,4,6,6,6,7,5,3,5,5,5,3,2,2,5,4,1,5,2,2,5,5,6,"I feel cheap or less authentic, or guilty, using them in my work",I think so. I suppose I don't feel the need to think as deeply about a work problem if i know I can get assistance from AI.,35 - 44,Canada,Man
19/11/2025 19:20:57,Yes,67e61c923bf0679ee41740fa,Self-employed / freelance,Yes,Occasionally,2,4,5,3,4,1,2,2,1,1,3,2,4,2,5,1,1,2,2,2,1,1,1,1,2,1,2,"They don't really. AI in general affects how I think about external things, including the future of creativity and humanity in general. ","They haven't. I primarily use AI tools (if I use them at all) for things like proofreading, preliminary research, etc. Not for actual creation. ",55 - 65,Canada,Woman
19/11/2025 19:21:06,Yes,5a47473899311d0001df550e,Employed full time,Yes,Sometimes,2,1,1,5,4,2,1,2,1,1,5,5,2,5,2,1,1,1,1,1,5,5,5,5,2,1,1,"They haven't.  I think if them as tools and tools only, no different to anything else I would use at work.","I feel I can generate more creative solutions with AI, but it hasn't affected my personal creativity.  I have never been a creative person.",35 - 44,UK,Woman
